year,metric,value_krw,original_value,original_unit,basis,audit_note,table_header,evidence_context,company,sector,source_url,report_id,collected_at,section
2023,매출액,191095000000,"191,095",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,영업이익,-6189000000,"(6,189)",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,영업이익,4874000000,"4,874",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,영업이익,16777000000,"16,777",백만원,연결,,"구 분 제27기 제26기 제25기 [유동자산] 136,229 139,782 162,367 ㆍ현금및현금성자산 23,196 30,003 16,154 ㆍ기타유동금융자산 27,847 42,330 80,906","
 1. 요약재무정보 
 가. 요약 연결재무정보 제27기, 제26기, 제25기 재무정보는 한국채택국제회계기준(K-IFRS) 연결재무제표 기준으로 작성되었습니다. 
 
 
 
 
 
 
 
 (단위 : 백만원) 
 
 
 
",텔레칩스,반도체,https://kind.krx.co.kr/external/2026/03/23/001319/20260323005824/11011.htm,20260323005824,2026-09-13T06:23:21.461631+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,매출액,244123643799,"244,123,643,799",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,매출액,232116611005,"232,116,611,005",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,매출액,232436389092,"232,436,389,092",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
2025,영업이익,10148185090,"10,148,185,090",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
2024,영업이익,-5100374191,"(5,100,374,191)",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
2023,영업이익,-14643077325,"(14,643,077,325)",원,연결,,"구 분 제20기 제19기 제18기 2025년 2024년 2023년 [유동자산] 124,868,618,492 126,223,672,324 109,505,921,106 현금및현금성자산 18,270,298,972 30,971,849,914 43,417,473,689","
 1. 요약재무정보 
 
 당사는 국제회계기준을 채택하여 제정한 한국채택국제회계기준(K-IFRS)을 도입하였으며, 당사의 제20기(2025년), 제19기(2024년), 제18기(2023년) 연결 및 별도 재무제표는 외부감사인의 감사를 받은 재무제표 입니다.  
 (1) 요약연결재무정보 
 
 
 
 
 
 
 
 (단위: 원) 
 
 
 
",어보브반도체,반도체,https://kind.krx.co.kr/external/2026/03/19/000022/20260319000218/11011.htm,20260319000218,2026-09-13T06:24:49.755164+00:00,III. 재무에 관한 사항 / 요약재무정보
